CD_MUN,NM_MUN,VALOR,ANO,VARIAVEL
1100015,Alta Floresta D'Oeste,0.02131033249143911,1999,CH4
1100023,Ariquemes,0.01899176999022881,1999,CH4
1100031,Cabixi,0.02055194351746907,1999,CH4
1100049,Cacoal,0.02028894858486426,1999,CH4
1100056,Cerejeiras,0.02075306958527887,1999,CH4
1100064,Colorado do Oeste,0.02056710263936032,1999,CH4
1100072,Corumbiara,0.02066047560792237,1999,CH4
1100080,Costa Marques,0.02513179352498621,1999,CH4
1100098,Espigão D'Oeste,0.01950556250837156,1999,CH4
1100106,Guajará-Mirim,0.02407312390012023,1999,CH4
1100114,Jaru,0.01981280479261026,1999,CH4
1100122,Ji-Paraná,0.02054388448451585,1999,CH4
1100130,Machadinho D'Oeste,0.02115062654379693,1999,CH4
1100148,Nova Brasilândia D'Oeste,0.02076085676979962,1999,CH4
1100155,Ouro Preto do Oeste,0.02154033252176034,1999,CH4
1100189,Pimenta Bueno,0.02012689821978965,1999,CH4
1100205,Porto Velho,0.02146233907247631,1999,CH4
1100254,Presidente Médici,0.02102524602341278,1999,CH4
1100262,Rio Crespo,0.01997210886975261,1999,CH4
1100288,Rolim de Moura,0.02084314892326752,1999,CH4
1100296,Santa Luzia D'Oeste,0.02083962311120781,1999,CH4
1100304,Vilhena,0.01965432829734245,1999,CH4
1100320,São Miguel do Guaporé,0.02035761018560281,1999,CH4
1100338,Nova Mamoré,0.02138906821858173,1999,CH4
1100346,Alvorada D'Oeste,0.02016274294989413,1999,CH4
1100379,Alto Alegre dos Parecis,0.02094964587044303,1999,CH4
1100403,Alto Paraíso,0.01971219193711107,1999,CH4
1100452,Buritis,0.02139923508271844,1999,CH4
1100502,Novo Horizonte do Oeste,0.02090422955073972,1999,CH4
1100601,Cacaulândia,0.01807189184513356,1999,CH4
1100700,Campo Novo de Rondônia,0.02107977857115055,1999,CH4
1100809,Candeias do Jamari,0.01895546642446853,1999,CH4
1100908,Castanheiras,0.02092742021893314,1999,CH4
1100924,Chupinguaia,0.02060876745302606,1999,CH4
1100940,Cujubim,0.02142625724572977,1999,CH4
1101005,Governador Jorge Teixeira,0.01880468313612971,1999,CH4
1101104,Itapuã do Oeste,0.02025871445262669,1999,CH4
1101203,Ministro Andreazza,0.0208482825754563,1999,CH4
1101302,Mirante da Serra,0.0193861570593756,1999,CH4
1101401,Monte Negro,0.0196712517465181,1999,CH4
1101435,Nova União,0.02013668992244665,1999,CH4
1101450,Parecis,0.02071272168688096,1999,CH4
1101468,Pimenteiras do Oeste,0.0209071160491806,1999,CH4
1101476,Primavera de Rondônia,0.02069303103608437,1999,CH4
1101484,São Felipe D'Oeste,0.02068964567535806,1999,CH4
