CD_MUN,NM_MUN,VALOR,ANO,VARIAVEL
1100015,ALTA FLORESTA D'OESTE,233.7363559153757,1999,CO2
1100023,ARIQUEMES,208.3057205734639,1999,CO2
1100031,CABIXI,225.4182573605931,1999,CO2
1100049,CACOAL,222.5337100819552,1999,CO2
1100056,CEREJEIRAS,227.6242302834654,1999,CO2
1100064,COLORADO DO OESTE,225.584527586931,1999,CO2
1100072,CORUMBIARA,226.6086528289933,1999,CO2
1100080,COSTA MARQUES,275.6506626779361,1999,CO2
1100098,ESPIGAO D'OESTE,213.9413839324678,1999,CO2
1100106,GUAJARA0MIRIM,264.0389516504497,1999,CO2
1100114,JARU,217.3111640811208,1999,CO2
1100122,JI0PARANA,225.3299398266668,1999,CO2
1100130,MACHADINHO D'OESTE,231.9846355976725,1999,CO2
1100148,NOVA BRASILANDIA D'OESTE,227.7096414276022,1999,CO2
1100155,OURO PRETO DO OESTE,236.2591615111776,1999,CO2
1100189,PIMENTA BUENO,220.7562963332359,1999,CO2
1100205,PORTO VELHO,235.4034919879621,1999,CO2
1100254,PRESIDENTE MEDICI,230.6095583136368,1999,CO2
1100262,RIO CRESPO,219.0583239624016,1999,CO2
1100288,ROLIM DE MOURA,228.6122554349419,1999,CO2
1100296,SANTA LUZIA D'OESTE,228.5735746506393,1999,CO2
1100304,VILHENA,215.5730619144484,1999,CO2
1100320,SAO MIGUEL DO GUAPORE,223.2866023153461,1999,CO2
1100338,NOVA MAMORE,234.5998357275292,1999,CO2
1100346,ALVORADA D'OESTE,221.1493657988221,1999,CO2
1100379,ALTO ALEGRE DOS PARECIS,229.7803045170554,1999,CO2
1100403,ALTO PARAISO,216.2075318636149,1999,CO2
1100452,BURITIS,234.711269230468,1999,CO2
1100502,NOVO HORIZONTE DO OESTE,229.2821842515682,1999,CO2
1100601,CACAULANDIA,198.2163735703855,1999,CO2
1100700,CAMPO NOVO DE RONDONIA,231.2074570879033,1999,CO2
1100809,CANDEIAS DO JAMARI,207.9076237821531,1999,CO2
1100908,CASTANHEIRAS,229.5365641412177,1999,CO2
1100924,CHUPINGUAIA,226.0415195971052,1999,CO2
1100940,CUJUBIM,235.0076906217811,1999,CO2
1101005,GOVERNADOR JORGE TEIXEIRA,206.2537514209235,1999,CO2
1101104,ITAPUA DO OESTE,222.2019955494632,1999,CO2
1101203,MINISTRO ANDREAZZA,228.6685996203775,1999,CO2
1101302,MIRANTE DA SERRA,212.6315437078088,1999,CO2
1101401,MONTE NEGRO,215.7584023081301,1999,CO2
1101435,NOVA UNIAO,220.8636196954511,1999,CO2
1101450,PARECIS,227.1817032884917,1999,CO2
1101468,PIMENTEIRAS DO OESTE,229.3138373808072,1999,CO2
1101476,PRIMAVERA DE RONDONIA,226.9657476270848,1999,CO2
1101484,SAO FELIPE D'OESTE,226.928613178597,1999,CO2
1101492,SAO FRANCISCO DO GUAPORE,261.2939342164271,1999,CO2
1101500,SERINGUEIRAS,246.7671781262204,1999,CO2
1101559,TEIXEIROPOLIS,231.3042078389801,1999,CO2
1101609,THEOBROMA,212.447318977577,1999,CO2
1101708,URUPA,225.3226378488904,1999,CO2
1101757,VALE DO ANARI,195.2965015636819,1999,CO2
1101807,VALE DO PARAISO,241.7938999422992,1999,CO2
1200013,ACRELANDIA,259.4077561499338,1999,CO2
1200054,ASSIS BRASIL,233.4422571235481,1999,CO2
1200104,BRASILEIA,224.7655128358831,1999,CO2
1200138,BUJARI,172.242871579713,1999,CO2
1200179,CAPIXABA,192.8663014488918,1999,CO2
1200203,CRUZEIRO DO SUL,12973.90267873195,1999,CO2
