CD_MUN,NM_MUN,VALOR,ANO,VARIAVEL
1100015,Alta Floresta D'Oeste,3469.14,1999,PIB
1100023,Ariquemes,4189.78,1999,PIB
1100031,Cabixi,3931.44,1999,PIB
1100049,Cacoal,4353.99,1999,PIB
1100056,Cerejeiras,4221.33,1999,PIB
1100064,Colorado do Oeste,3146.76,1999,PIB
1100072,Corumbiara,3691.83,1999,PIB
1100080,Costa Marques,2175.7,1999,PIB
1100098,Espigão D'Oeste,3761.96,1999,PIB
1100106,Guajará-Mirim,3002.38,1999,PIB
1100114,Jaru,4144.13,1999,PIB
1100122,Ji-Paraná,4627.73,1999,PIB
1100130,Machadinho D'Oeste,2360.84,1999,PIB
1100148,Nova Brasilândia D'Oeste,3834.05,1999,PIB
1100155,Ouro Preto do Oeste,4133.84,1999,PIB
1100189,Pimenta Bueno,3815.89,1999,PIB
1100205,Porto Velho,4261.59,1999,PIB
1100254,Presidente Médici,3419.26,1999,PIB
1100262,Rio Crespo,4501.11,1999,PIB
1100288,Rolim de Moura,3864.87,1999,PIB
1100296,Santa Luzia D'Oeste,3597.3,1999,PIB
1100304,Vilhena,7342.75,1999,PIB
1100320,São Miguel do Guaporé,2974.2,1999,PIB
1100338,Nova Mamoré,2394.22,1999,PIB
1100346,Alvorada D'Oeste,3224.93,1999,PIB
1100379,Alto Alegre dos Parecis,3560.33,1999,PIB
1100403,Alto Paraíso,3282.98,1999,PIB
1100452,Buritis,2581.23,1999,PIB
1100502,Novo Horizonte do Oeste,3250.29,1999,PIB
1100601,Cacaulândia,5018.49,1999,PIB
1100700,Campo Novo de Rondônia,2538.77,1999,PIB
1100809,Candeias do Jamari,3193.69,1999,PIB
1100908,Castanheiras,3813.02,1999,PIB
1100924,Chupinguaia,6102.54,1999,PIB
1100940,Cujubim,3417.03,1999,PIB
1101005,Governador Jorge Teixeira,2830.31,1999,PIB
1101104,Itapuã do Oeste,3305.5,1999,PIB
1101203,Ministro Andreazza,3502.55,1999,PIB
1101302,Mirante da Serra,2790.76,1999,PIB
1101401,Monte Negro,3037.06,1999,PIB
1101435,Nova União,3950.94,1999,PIB
1101450,Parecis,3641.61,1999,PIB
1101468,Pimenteiras do Oeste,6017.23,1999,PIB
1101476,Primavera de Rondônia,3937.5,1999,PIB
1101484,São Felipe D'Oeste,2873.61,1999,PIB
1101492,São Francisco do Guaporé,3382.5,1999,PIB
1101500,Seringueiras,2788.85,1999,PIB
1101559,Teixeirópolis,4041.82,1999,PIB
1101609,Theobroma,3174.61,1999,PIB
1101708,Urupá,2668.93,1999,PIB
1101757,Vale do Anari,2646.51,1999,PIB
1101807,Vale do Paraíso,3324.04,1999,PIB
1200013,Acrelândia,2879.63,1999,PIB
1200054,Assis Brasil,2875.43,1999,PIB
1200104,Brasiléia,4336.48,1999,PIB
1200138,Bujari,4506.96,1999,PIB
1200179,Capixaba,4278.47,1999,PIB
1200203,Cruzeiro do Sul,2542.34,1999,PIB
1200252,Epitaciolândia,3840.51,1999,PIB
1200302,Feijó,2374.79,1999,PIB
1200328,Jordão,2637.63,1999,PIB
1200336,Mâncio Lima,2129.88,1999,PIB
1200344,Manoel Urbano,2178.61,1999,PIB
1200351,Marechal Thaumaturgo,2011.81,1999,PIB
1200385,Plácido de Castro,3678.42,1999,PIB
1200393,Porto Walter,2256.41,1999,PIB
1200401,Rio Branco,3787.55,1999,PIB
1200427,Rodrigues Alves,2402.49,1999,PIB
1200435,Santa Rosa do Purus,2478.71,1999,PIB
1200450,Senador Guiomard,3375.32,1999,PIB
1200500,Sena Madureira,3046.82,1999,PIB
1200609,Tarauacá,2450.76,1999,PIB
1200708,Xapuri,2726.36,1999,PIB
1200807,Porto Acre,4836.86,1999,PIB
1300029,Alvarães,1925.29,1999,PIB
1300060,Amaturá,3259.6,1999,PIB
1300086,Anamã,1462.22,1999,PIB
1300102,Anori,1525.62,1999,PIB
1300144,Apuí,1765.89,1999,PIB
1300201,Atalaia do Norte,1903.45,1999,PIB
1300300,Autazes,1589.91,1999,PIB
1300409,Barcelos,1539.47,1999,PIB
1300508,Barreirinha,1467.09,1999,PIB
1300607,Benjamin Constant,1508.05,1999,PIB
1300631,Beruri,1596.31,1999,PIB
1300680,Boa Vista do Ramos,1597.31,1999,PIB
1300706,Boca do Acre,2052.97,1999,PIB
1300805,Borba,1327.17,1999,PIB
1300839,Caapiranga,1894.47,1999,PIB
1300904,Canutama,2235.2,1999,PIB
1301001,Carauari,1789.01,1999,PIB
1301100,Careiro,2193.85,1999,PIB
1301159,Careiro da Várzea,2109.01,1999,PIB
1301209,Coari,3213.87,1999,PIB
1301308,Codajás,1570.19,1999,PIB
1301407,Eirunepé,1731.52,1999,PIB
1301506,Envira,1307,1999,PIB
1301605,Fonte Boa,1606.17,1999,PIB
1301654,Guajará,2021.87,1999,PIB
1301704,Humaitá,2189.9,1999,PIB
1301803,Ipixuna,1580.57,1999,PIB
1301852,Iranduba,1832.66,1999,PIB
1301902,Itacoatiara,2270.08,1999,PIB
1301951,Itamarati,2787.17,1999,PIB
1302009,Itapiranga,1564.35,1999,PIB
1302108,Japurá,1609.36,1999,PIB
1302207,Juruá,2162.17,1999,PIB
1302306,Jutaí,1511.44,1999,PIB
1302405,Lábrea,1790.4,1999,PIB
1302504,Manacapuru,1759.64,1999,PIB
1302553,Manaquiri,1167.07,1999,PIB
1302603,Manaus,8411.36,1999,PIB
1302702,Manicoré,1732.26,1999,PIB
1302801,Maraã,1266.32,1999,PIB
1302900,Maués,1879.12,1999,PIB
1303007,Nhamundá,1563.2,1999,PIB
1303106,Nova Olinda do Norte,1951.42,1999,PIB
1303205,Novo Airão,1242.41,1999,PIB
1303304,Novo Aripuanã,2260.7,1999,PIB
1303403,Parintins,1739.61,1999,PIB
1303502,Pauini,1320.78,1999,PIB
1303536,Presidente Figueiredo,5250.21,1999,PIB
1303569,Rio Preto da Eva,1969.49,1999,PIB
1303601,Santa Isabel do Rio Negro,1598.94,1999,PIB
1303700,Santo Antônio do Içá,1101.37,1999,PIB
1303809,São Gabriel da Cachoeira,1503.72,1999,PIB
1303908,São Paulo de Olivença,1428.05,1999,PIB
1303957,São Sebastião do Uatumã,1971.09,1999,PIB
1304005,Silves,2237.7,1999,PIB
1304062,Tabatinga,1711.49,1999,PIB
1304104,Tapauá,1419.66,1999,PIB
1304203,Tefé,1729.5,1999,PIB
1304237,Tonantins,1232.82,1999,PIB
1304260,Uarini,1738.64,1999,PIB
1304302,Urucará,1560.94,1999,PIB
1304401,Urucurituba,1564.93,1999,PIB
1400027,Amajari,3339.36,1999,PIB
1400050,Alto Alegre,3347.65,1999,PIB
1400100,Boa Vista,5515.15,1999,PIB
1400159,Bonfim,4276.94,1999,PIB
1400175,Cantá,3865.22,1999,PIB
1400209,Caracaraí,4621.18,1999,PIB
1400233,Caroebe,3315.8,1999,PIB
1400282,Iracema,4064.23,1999,PIB
1400308,Mucajaí,3697.01,1999,PIB
