CD_MUN,NM_MUN,VALOR,ANO,VARIAVEL
1100015,Alta Floresta D'Oeste,0.06105129841306092,1999,TAXA URB
1100023,Ariquemes,0.5138359384724656,1999,TAXA URB
1100031,Cabixi,0.1208567638653876,1999,TAXA URB
1100049,Cacoal,0.3974751294489849,1999,TAXA URB
1100056,Cerejeiras,0.2750359869579276,1999,TAXA URB
1100064,Colorado do Oeste,0.5183976557826692,1999,TAXA URB
1100072,Corumbiara,0.04716669800324869,1999,TAXA URB
1100080,Costa Marques,0.08631700807891919,1999,TAXA URB
1100098,Espigão D'Oeste,0.1371543828095293,1999,TAXA URB
1100106,Guajará-Mirim,0.05788455552964276,1999,TAXA URB
1100114,Jaru,0.3370711587607604,1999,TAXA URB
1100122,Ji-Paraná,0.4238988684214609,1999,TAXA URB
1100130,Machadinho D'Oeste,0.07958222545529757,1999,TAXA URB
1100148,Nova Brasilândia D'Oeste,0.2482368461569177,1999,TAXA URB
1100155,Ouro Preto do Oeste,0.3891585998933929,1999,TAXA URB
1100189,Pimenta Bueno,0.1804664088347154,1999,TAXA URB
1100205,Porto Velho,0.2631734482216865,1999,TAXA URB
1100254,Presidente Médici,0.2401195161689314,1999,TAXA URB
1100262,Rio Crespo,0.03587357502154119,1999,TAXA URB
1100288,Rolim de Moura,1.330701092254071,1999,TAXA URB
1100296,Santa Luzia D'Oeste,0.1795350049591082,1999,TAXA URB
1100304,Vilhena,0.3221855416846523,1999,TAXA URB
1100320,São Miguel do Guaporé,0.04139894159836904,1999,TAXA URB
1100338,Nova Mamoré,0.03194404826378856,1999,TAXA URB
1100346,Alvorada D'Oeste,0.142288374049952,1999,TAXA URB
1100379,Alto Alegre dos Parecis,0.05896790708978385,1999,TAXA URB
1100403,Alto Paraíso,0.06880736644465578,1999,TAXA URB
1100452,Buritis,0.1191813911040113,1999,TAXA URB
1100502,Novo Horizonte do Oeste,0.1218040396184225,1999,TAXA URB
1100601,Cacaulândia,0.03825620539123183,1999,TAXA URB
1100700,Campo Novo de Rondônia,0.04324709002456417,1999,TAXA URB
1100809,Candeias do Jamari,0.04572466964587862,1999,TAXA URB
1100908,Castanheiras,0.06706137162159892,1999,TAXA URB
1100924,Chupinguaia,0.01933579499028912,1999,TAXA URB
1100940,Cujubim,0.04478111448762483,1999,TAXA URB
1101005,Governador Jorge Teixeira,0.01030515315200111,1999,TAXA URB
1101104,Itapuã do Oeste,0.04144123302740606,1999,TAXA URB
1101203,Ministro Andreazza,0.104441597177236,1999,TAXA URB
1101302,Mirante da Serra,0.1395777652857892,1999,TAXA URB
1101401,Monte Negro,0.135968179092855,1999,TAXA URB
1101435,Nova União,0.03743029468793557,1999,TAXA URB
1101450,Parecis,0.02418621656753703,1999,TAXA URB
1101468,Pimenteiras do Oeste,0.01152785385485939,1999,TAXA URB
1101476,Primavera de Rondônia,0.1127404821262292,1999,TAXA URB
1101484,São Felipe D'Oeste,0.1105392353322367,1999,TAXA URB
1101492,São Francisco do Guaporé,0.02820279127190133,1999,TAXA URB
1101500,Seringueiras,0.04970670458896967,1999,TAXA URB
1101559,Teixeirópolis,0.06834774837057425,1999,TAXA URB
1101609,Theobroma,0.03833254995760924,1999,TAXA URB
1101708,Urupá,0.1858912183223799,1999,TAXA URB
1101757,Vale do Anari,0.04086445255758497,1999,TAXA URB
1101807,Vale do Paraíso,0.06941056886574794,1999,TAXA URB
1200013,Acrelândia,0.08199775062333953,1999,TAXA URB
1200054,Assis Brasil,0.02409218587476022,1999,TAXA URB
1200104,Brasiléia,0.06081546173871117,1999,TAXA URB
1200138,Bujari,0.02958734805357332,1999,TAXA URB
1200179,Capixaba,0.06952836412197272,1999,TAXA URB
1200203,Cruzeiro do Sul,0.130649474865856,1999,TAXA URB
1200252,Epitaciolândia,0.1410328530006523,1999,TAXA URB
1200302,Feijó,0.01105761464272242,1999,TAXA URB
1200328,Jordão,0.00594878290578316,1999,TAXA URB
1200336,Mâncio Lima,0.06665642254399015,1999,TAXA URB
1200344,Manoel Urbano,0.006599919355445601,1999,TAXA URB
1200351,Marechal Thaumaturgo,0.005748322069483245,1999,TAXA URB
1200385,Plácido de Castro,0.1423356705444917,1999,TAXA URB
1200393,Porto Walter,0.01747522594446345,1999,TAXA URB
1200401,Rio Branco,0.6572362760173733,1999,TAXA URB
1200427,Rodrigues Alves,0.02730460794020951,1999,TAXA URB
1200435,Santa Rosa do Purus,0.004858205192517436,1999,TAXA URB
1200450,Senador Guiomard,0.1653176602652652,1999,TAXA URB
1200500,Sena Madureira,0.01540980830751069,1999,TAXA URB
1200609,Tarauacá,0.01395586813446154,1999,TAXA URB
1200708,Xapuri,0.03531869027056102,1999,TAXA URB
1200807,Porto Acre,0.08533647691594703,1999,TAXA URB
1300029,Alvarães,0.006781056581616727,1999,TAXA URB
1300060,Amaturá,0.01695176951138478,1999,TAXA URB
1300086,Anamã,0.00485146760932922,1999,TAXA URB
1300102,Anori,0.02144431866449759,1999,TAXA URB
1300144,Apuí,0.005753763755507988,1999,TAXA URB
1300201,Atalaia do Norte,0.0009215868558551498,1999,TAXA URB
1300300,Autazes,0.04624119823563817,1999,TAXA URB
1300409,Barcelos,0.001589686099958316,1999,TAXA URB
1300508,Barreirinha,0.03628075133459033,1999,TAXA URB
1300607,Benjamin Constant,0.03022836563937427,1999,TAXA URB
1300631,Beruri,0.003062928427126561,1999,TAXA URB
1300680,Boa Vista do Ramos,0.03606520755524334,1999,TAXA URB
